store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
food_basics,flyer,SELECTION,SELECTION POTATO CHIPS OR POP,SELECTION POTATO CHIPS OR POP,,1.25,EA.,,0.0625,100ml,False,True
food_basics,flyer,SELECTION,SELECTION SNACKS,SELECTION SNACKS,,1.99,EA.,,1.99,,False,True
food_basics,flyer,SELECTION,SELECTION TOMATOES OR BEANS,SELECTION TOMATOES OR BEANS,,1.49,EA.,,1.49,,False,True
food_basics,flyer,SELECTION,SELECTION ULTRA PAPER TOWELS,SELECTION ULTRA PAPER TOWELS,,19.99,EA.,,19.99,,False,True
food_basics,flyer,SELECTION,SELECTION COOKIES,SELECTION COOKIES,,4.49,EA.,,4.49,,False,True
food_basics,flyer,SELECTION,SELECTION TWO-BITE SNACK TUBS,SELECTION TWO-BITE SNACK TUBS,,5.99,EA.,,5.99,,False,True
food_basics,flyer,SELECTION,SELECTION DELUXE MIXED NUTS,SELECTION DELUXE MIXED NUTS,,19.99,EA.,,19.99,,False,True
food_basics,flyer,SELECTION,SELECTION DRINKS,SELECTION DRINKS,,0.99,EA.,,0.99,,False,True
food_basics,flyer,SELECTION,SELECTION SPARKLING OR CARBONATED WATER,SELECTION SPARKLING OR CARBONATED WATER,,0.99,EA.,,0.99,,False,True
food_basics,flyer,SELECTION,SELECTION POP,SELECTION POP,,4.49,EA.,,4.49,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES CARBONATED SPRING WATER,IRRESISTIBLES CARBONATED SPRING WATER,,3.99,EA.,,0.399,100ml,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES FULLY COOKED MEATBALLS,IRRESISTIBLES FULLY COOKED MEATBALLS,,8.99,EA.,,8.99,,False,True
food_basics,flyer,IRRESISTBLES,IRRESISTBLES PACIFIC WHITE RAW SHRIMP,IRRESISTBLES PACIFIC WHITE RAW SHRIMP,,10.99,EA.,,10.99,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES PORK BACK RIBS,IRRESISTIBLES PORK BACK RIBS,,11.99,EA.,,11.99,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES PIZZA,IRRESISTIBLES PIZZA,,3.88,EA.,,3.88,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES CHIPS,IRRESISTIBLES CHIPS,,1.47,EA.,,1.47,,False,True
food_basics,flyer,SELECTION,SELECTION GARLIC BREAD OR TEXAS TOAST,SELECTION GARLIC BREAD OR TEXAS TOAST,,3.49,EA.,,3.49,,False,True
food_basics,flyer,SELECTION,SELECTION BBQ SAUCE,SELECTION BBQ SAUCE,,0.99,EA.,,0.99,,False,True
food_basics,flyer,SELECTION,SELECTION HONEY GARLIC OR PLUM SAUCE,SELECTION HONEY GARLIC OR PLUM SAUCE,,3.49,EA.,,3.49,,False,True
food_basics,flyer,,GREEN RELISH OR OR SALAD DRESSING,GREEN RELISH OR OR SALAD DRESSING,,2.49,EA.,,2.49,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES FRUIT,IRRESISTIBLES FRUIT,,4.44,EA.,,4.44,,False,True
food_basics,flyer,SELECTION,SELECTION TOMATO SAUCE,SELECTION TOMATO SAUCE,,1.49,EA.,,1.49,,False,True
food_basics,flyer,,IRRESISTIBLES OR SELECTION GRATED PARMESAN CHEESE,IRRESISTIBLES OR SELECTION GRATED PARMESAN CHEESE,,5.99,EA.,,5.99,,False,True
food_basics,flyer,SELECTION,SELECTION PASTA,SELECTION PASTA,,1.79,EA.,,1.79,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES ICE CREAM OR OR CREAMIEST BARS,IRRESISTIBLES ICE CREAM OR OR CREAMIEST BARS,,4.44,EA.,,0.29600000000000004,100ml,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES MAMMOTH BBQ BURGERS OR MONTREAL SPICE BEEF BURGERS,IRRESISTIBLES MAMMOTH BBQ BURGERS OR MONTREAL SPICE BEEF BURGERS,,12.99,EA.,,12.99,,False,True
food_basics,flyer,SELECTION,SELECTION HOT DOG OR HAMBURGER BUNS,SELECTION HOT DOG OR HAMBURGER BUNS,,2.79,EA.,,2.79,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES CHOCOLATE ALMONDS,IRRESISTIBLES CHOCOLATE ALMONDS,,3.99,EA.,,3.99,,False,True
food_basics,flyer,SELECTION,SELECTION PICKLES,SELECTION PICKLES,,3.29,EA.,,3.29,,False,True
food_basics,flyer,SELECTION,SELECTION SOY SAUCE,SELECTION SOY SAUCE,,1.99,EA.,,1.99,,False,True
food_basics,flyer,SELECTION,SELECTION BALSAMIC VINEGAR,SELECTION BALSAMIC VINEGAR,,2.99,EA.,,2.99,,False,True
food_basics,flyer,IRRESISTIBLES,IRRESISTIBLES CARBONATED SPRING WATER,IRRESISTIBLES CARBONATED SPRING WATER,,3.99,EA.,,0.399,100ml,False,True
food_basics,flyer,,SELECTION OR IRRESISTIBLES COFFEE PODS,SELECTION OR IRRESISTIBLES COFFEE PODS,,29.99,EA.,,29.99,,False,True
