store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale,data_last_refreshed_at,sale_valid_until
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Five Blade Razor System or Cartridges,COMPLIMENTS Five Blade Razor System or Cartridges,,7.99,each,,1.9975,1ea,True,True,02/23/2023,03/01
sobeys,flyer,ENFAMIL A+,ENFAMIL A+ Ready To Feed Formula,ENFAMIL A+ Ready To Feed Formula,,59.99,each,,59.99,,True,True,02/23/2023,03/01
sobeys,flyer,,PAMPERS or HELLO BELLO Wipes,PAMPERS or HELLO BELLO Wipes,,21.99,each,,0.043630952380952374,1ea,True,True,02/23/2023,03/01
sobeys,flyer,PAMPERS,PAMPERS Super Pack Diapers,PAMPERS Super Pack Diapers,,24.99,each,,0.595,1ea,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Purée Pouches,COMPLIMENTS ORGANIC Purée Pouches,,1.49,ea when you buy 3 or more,,1.49,,False,True,02/23/2023,03/01
sobeys,flyer,,TYLENOL Pain Relief,TYLENOL Pain Relief,,,each,,,1ea,True,True,02/23/2023,03/01
sobeys,flyer,,TYLENOL Complete,TYLENOL Complete,,,each,,,1ea,True,True,02/23/2023,03/01
sobeys,flyer,VISINE,VISINE Eye Drops,VISINE Eye Drops,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,NICORETTE,NICORETTE Gum or Lozenges,NICORETTE Gum or Lozenges,,,each,,,1ea,True,True,02/23/2023,03/01
sobeys,flyer,BAND-AID,BAND-AID Bandages,BAND-AID Bandages,,,each,,,1ea,True,True,02/23/2023,03/01
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Antibiotic Ointment or Cream,COMPLIMENTS Antibiotic Ointment or Cream,,,each,,,100g,True,True,02/23/2023,03/01
sobeys,flyer,CONTOUR,CONTOUR Blood Glucose Test Strips,CONTOUR Blood Glucose Test Strips,,79.99,each,,0.7998999999999999,1ea,True,True,02/23/2023,03/01
sobeys,flyer,,scotia bank offer,scotia bank offer,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,,nhl,nhl,,,each,,,,True,True,02/23/2023,03/01
sobeys,flyer,,email acquisition,email acquisition,,,each,,,,True,True,02/23/2023,03/01
