store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
freshco,flyer,,Haagen-Dazs Novelties 3 pk,Haagen-Dazs Novelties 3 pk,,3.99,each,,1.33,1ea,True,True
freshco,flyer,,Bubly 12x355 mL Montellier 10x355 mL,Bubly 12x355 mL Montellier 10x355 mL,,4.99,each,,4.99,,True,True
freshco,flyer,,Lay's Potato Chips 177-235g or Poppables 130g Smartfood 150-220g,Lay's Potato Chips 177-235g or Poppables 130g Smartfood 150-220g,,5.0,each,,2.5,,True,True
freshco,flyer,,Grace Soda 355 mL Selected Varieties or Grace Peanut Punch 240 mL,Grace Soda 355 mL Selected Varieties or Grace Peanut Punch 240 mL,,0.99,each,,0.99,,True,True
freshco,flyer,,Ocean Spray Cocktail 1.89 L Mott's Clamato 1.89 L,Ocean Spray Cocktail 1.89 L Mott's Clamato 1.89 L,,7.0,each,,0.1851851851851852,100ml,True,True
freshco,flyer,,Quaker Cereal 325-500 g Selected Varieties,Quaker Cereal 325-500 g Selected Varieties,,2.99,with Scene+ Card,,0.9199999999999999,100g,False,True
freshco,flyer,,Pringles Super Stacks 148-156g Quaker Crispy Minis 100g or Rice Cakes 127-199g,Pringles Super Stacks 148-156g Quaker Crispy Minis 100g or Rice Cakes 127-199g,,1.99,each,,1.99,,True,True
freshco,flyer,,Grace Plantain Chips 85 g Selected Varieties,Grace Plantain Chips 85 g Selected Varieties,,0.99,each,,1.164705882352941,100g,True,True
freshco,flyer,,Heinz Ketchup 1 L Kraft Miracle Whip 650-890 mL,Heinz Ketchup 1 L Kraft Miracle Whip 650-890 mL,,3.99,each,,0.399,100ml,True,True
freshco,flyer,,Hellmann's Mayonnaise 710-890 mL,Hellmann's Mayonnaise 710-890 mL,,5.49,each,,5.49,,True,True
freshco,flyer,,Kellogg's Cheez-It Crackers 191-200 g,Kellogg's Cheez-It Crackers 191-200 g,,2.49,each,,1.3036649214659686,100g,True,True
freshco,flyer,,Excelsior Crackers 300g,Excelsior Crackers 300g,,3.0,each,,1.5,,True,True
freshco,flyer,,Liberté Greek Yogourt 650-750 g Yoplait Source Yogourt 16 pk,Liberté Greek Yogourt 650-750 g Yoplait Source Yogourt 16 pk,,5.49,each,,0.8446153846153847,100g,True,True
freshco,flyer,,Christie Crispers 145 g,Christie Crispers 145 g,,1.99,each,,1.3724137931034484,100g,True,True
freshco,flyer,,Unico Beans 540 mL Unico Tomatoes 769 mL,Unico Beans 540 mL Unico Tomatoes 769 mL,,4.0,each,,1.3333333333333333,,True,True
freshco,flyer,,Cesar Dog Food 12 pk,Cesar Dog Food 12 pk,,15.49,each,,1.2908333333333333,1ea,True,True
freshco,flyer,,Nutrament Drinks 355 mL Selected Varieties,Nutrament Drinks 355 mL Selected Varieties,,5.0,each,,2.5,,True,True
freshco,flyer,,Sponge Towels Mega 6=12 rolls,Sponge Towels Mega 6=12 rolls,,11.99,each,,11.99,,True,True
freshco,flyer,,"Tide Liquid Laundry Detergent 1.36L, Tide Pods 414-436g or Downy Rinse & Refresh Fabric Softener 754mL","Tide Liquid Laundry Detergent 1.36L, Tide Pods 414-436g or Downy Rinse & Refresh Fabric Softener 754mL",,6.99,each,,6.99,,True,True
freshco,flyer,,Contour Next Test Strips 100 pk Free Meter with Purchase of Test Strips 100 pk,Contour Next Test Strips 100 pk Free Meter with Purchase of Test Strips 100 pk,,69.99,each,,0.6999,1ea,True,True
