store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale,data_last_refreshed_at,sale_valid_until
freshco,flyer,,Compliments Sliced Meat 175 g,Compliments Sliced Meat 175 g,,3.99,each,,2.2800000000000002,100g,True,True,03/16/2023,03/22
freshco,flyer,,Green Onions Product of Mexico,Green Onions Product of Mexico,,0.99,ea,,0.99,,False,True,03/16/2023,03/22
freshco,flyer,,Rapini Product of USA or Mexico,Rapini Product of USA or Mexico,,3.49,each,,3.49,,True,True,03/16/2023,03/22
freshco,flyer,,Double Fresh Guaranteed,Double Fresh Guaranteed,,,each,,,,True,True,03/16/2023,03/22
freshco,flyer,,Gold Label Sliced Meats 55 g,Gold Label Sliced Meats 55 g,,0.99,each,,1.7999999999999998,100g,True,True,03/16/2023,03/22
freshco,flyer,,Rapini Product of USA or Mexico,Rapini Product of USA or Mexico,,3.49,each,,3.49,,True,True,03/16/2023,03/22
freshco,flyer,,We Price Match,We Price Match,,,each,,,,True,True,03/16/2023,03/22
freshco,flyer,,"Frito-Lay Value Size Potato Chips , Tortilla Chips, Snacks or Popcorn 275-480 g","Frito-Lay Value Size Potato Chips , Tortilla Chips, Snacks or Popcorn 275-480 g",,5.0,each,,1.8181818181818181,100g,True,True,03/16/2023,03/22
freshco,flyer,,Quaker Crispy Minis 100 g or Rice Cakes 127-199 g,Quaker Crispy Minis 100 g or Rice Cakes 127-199 g,,2.49,each,,2.49,100g,True,True,03/16/2023,03/22
freshco,flyer,,Tim Hortons Single Serve K-Cups 30 pk or Ground Coffee 875-930 g,Tim Hortons Single Serve K-Cups 30 pk or Ground Coffee 875-930 g,,19.99,each,,0.6663333333333333,1ea,True,True,03/16/2023,03/22
freshco,flyer,,Christie Ritz Wheat Thins or Triscuit Crackers 175-304 g,Christie Ritz Wheat Thins or Triscuit Crackers 175-304 g,,5.0,each,,1.4285714285714286,100g,True,True,03/16/2023,03/22
freshco,flyer,,"Old EI Paso Taco Shells 125-133 g, Flour Tortillas 144-334 g or Taco for 2 Kits 94-155 g","Old EI Paso Taco Shells 125-133 g, Flour Tortillas 144-334 g or Taco for 2 Kits 94-155 g",,2.5,ea,,1.0,100g,False,True,03/16/2023,03/22
freshco,flyer,,Fruité Drink 2 L,Fruité Drink 2 L,,1.69,each,,0.08449999999999999,100ml,True,True,03/16/2023,03/22
freshco,flyer,,Delissio Rising Crust or Pizzeria Pizza 519-888 g,Delissio Rising Crust or Pizzeria Pizza 519-888 g,,5.99,each,,1.1541425818882467,100g,True,True,03/16/2023,03/22
freshco,flyer,,Kraft Salad Dressing 475 mL,Kraft Salad Dressing 475 mL,,2.99,each,,2.99,,True,True,03/16/2023,03/22
freshco,flyer,,Head & Shoulders 2-in-1 or Pantene Shampoo or Conditioner 308-400 mL,Head & Shoulders 2-in-1 or Pantene Shampoo or Conditioner 308-400 mL,,4.99,each,,4.99,,True,True,03/16/2023,03/22
freshco,flyer,,Silk Beverage 1.75-1.89 L,Silk Beverage 1.75-1.89 L,,3.99,each,,0.22799999999999998,100ml,True,True,03/16/2023,03/22
freshco,flyer,,Van Houtte Coffee K-Cup Pods 24 pk,Van Houtte Coffee K-Cup Pods 24 pk,,14.99,each,,0.6245833333333334,1ea,True,True,03/16/2023,03/22
freshco,flyer,,General Mills Cereal Selected 300-450 g,General Mills Cereal Selected 300-450 g,,3.5,ea,,0.5833333333333334,100g,False,True,03/16/2023,03/22
freshco,flyer,,Janes Ultimates Chicken Fillets Frozen 720 g,Janes Ultimates Chicken Fillets Frozen 720 g,,11.99,each,,1.6652777777777776,100g,True,True,03/16/2023,03/22
freshco,flyer,,Annie's Macaroni & Cheese 156-170 g Yoplait Tubes 8 pk Yoplait Minigo 6 pk,Annie's Macaroni & Cheese 156-170 g Yoplait Tubes 8 pk Yoplait Minigo 6 pk,,2.49,each,,1.5961538461538465,100g,True,True,03/16/2023,03/22
freshco,flyer,,Danino Yogurt Drinks 8 pk,Danino Yogurt Drinks 8 pk,,3.49,each,,0.43625,1ea,True,True,03/16/2023,03/22
freshco,flyer,,Mott's Clamato or Garden Cocktail 1.89 L,Mott's Clamato or Garden Cocktail 1.89 L,,7.0,each,,0.1851851851851852,100ml,True,True,03/16/2023,03/22
freshco,flyer,,Janes Ultimates Boneless Chicken Bites Frozen 710 g,Janes Ultimates Boneless Chicken Bites Frozen 710 g,,10.99,each,,1.5478873239436621,100g,True,True,03/16/2023,03/22
freshco,flyer,,Betty Crocker Potatoes 141-215 g,Betty Crocker Potatoes 141-215 g,,1.99,each,,1.4113475177304964,100g,True,True,03/16/2023,03/22
freshco,flyer,,Nature Valley Bars 420-525 g Fruit by the Foot or Fruit Gushers Snacks 340-368 g Selected Varieties,Nature Valley Bars 420-525 g Fruit by the Foot or Fruit Gushers Snacks 340-368 g Selected Varieties,,6.99,each,,1.6642857142857144,100g,True,True,03/16/2023,03/22
freshco,flyer,,Two Good Yogourt 625 g,Two Good Yogourt 625 g,,3.99,each,,0.6384,100g,True,True,03/16/2023,03/22
freshco,flyer,,Corona Sunbrew 0% Non-Alcoholic Beer 6x330 mL,Corona Sunbrew 0% Non-Alcoholic Beer 6x330 mL,,9.99,each,,9.99,,True,True,03/16/2023,03/22
