store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Tea,COMPLIMENTS Tea,,,each,,,1ea,True,True
sobeys,flyer,,"MINUTE MAID, FIVE ALIVE or NESTEA Juices or Drinks","MINUTE MAID, FIVE ALIVE or NESTEA Juices or Drinks",,,each,,,,True,True
sobeys,flyer,ALLEN'S,ALLEN'S Juices or Drinks,ALLEN'S Juices or Drinks,,3.29,each,,3.29,,True,True
sobeys,flyer,,COMPLIMENTS Sparkling or Fizzy Water,COMPLIMENTS Sparkling or Fizzy Water,,,each,,,100ml,True,True
sobeys,flyer,MCCAFE,MCCAFE ORGANIC High Grown Dark Roast Coffee,MCCAFE ORGANIC High Grown Dark Roast Coffee,,13.99,each,,4.663333333333333,100g,True,True
sobeys,flyer,MONSTER,MONSTER Energy Drinks,MONSTER Energy Drinks,,2.79,ea when you buy 2 or more,,2.79,,False,True
sobeys,flyer,GLACEAU,GLACEAU Smartwater,GLACEAU Smartwater,,2.99,each,,0.299,100ml,True,True
sobeys,flyer,MCCAFE,MCCAFE ORGANIC High Grown Dark Roast K-Cup® Pods,MCCAFE ORGANIC High Grown Dark Roast K-Cup® Pods,,12.99,each,,1.299,1ea,True,True
sobeys,flyer,AHA,AHA Sparkling Water,AHA Sparkling Water,,6.0,ea when you buy 2 or more,,6.0,,False,True
sobeys,flyer,GLACEAU,GLACEAU Vitamin Water,GLACEAU Vitamin Water,,5.0,each,,2.5,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Pizza Crust Mix,COMPLIMENTS Pizza Crust Mix,,0.99,with Scene+ Card,,0.5380434782608695,100g,False,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Canned Legumes,COMPLIMENTS Canned Legumes,,1.99,each,,1.99,,True,True
sobeys,flyer,SWISS CHALET,SWISS CHALET Soup,SWISS CHALET Soup,,3.99,ea when you buy 2 or more,,3.99,,False,True
sobeys,flyer,CLOVER LEAF,CLOVER LEAF Flaked Red Salmon,CLOVER LEAF Flaked Red Salmon,,4.79,each,,3.373239436619718,100g,True,True
sobeys,flyer,PANACHE,PANACHE Salad Dressing,PANACHE Salad Dressing,,,each,,,,True,True
sobeys,flyer,CHOLULA,CHOLULA Hot Sauce,CHOLULA Hot Sauce,,4.99,each,,4.99,,True,True
sobeys,flyer,LE GREC,LE GREC Salad Dressing,LE GREC Salad Dressing,,3.99,each,,3.99,,True,True
sobeys,flyer,,LOUISIANA Hot Sauce,LOUISIANA Hot Sauce,,2.49,each,,2.49,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS English Muffins,COMPLIMENTS English Muffins,,5.5,each,,0.4583333333333333,1ea,True,True
sobeys,flyer,SUN-MAID,SUN-MAID Cinnamon Raisin Bread or CINNABON Cinnamon Bread,SUN-MAID Cinnamon Raisin Bread or CINNABON Cinnamon Bread,,4.49,ea when you buy 2 or more,,0.9977777777777778,100g,False,True
sobeys,flyer,HOSTESS,HOSTESS Snacks,HOSTESS Snacks,,2.99,ea when you buy 2 or more,,2.4710743801652892,100g,False,True
sobeys,flyer,RUDOLPH'S,RUDOLPH'S BAKERY Bavarian Bread,RUDOLPH'S BAKERY Bavarian Bread,,3.49,each,,0.698,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Granola,COMPLIMENTS Granola,,3.49,each,,1.073846153846154,100g,True,True
sobeys,flyer,KELLOGG'S,KELLOGG'S Cereal,KELLOGG'S Cereal,,4.99,each,,1.6307189542483662,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Liquid Honey,COMPLIMENTS Liquid Honey,,5.49,each,,1.464,100g,True,True
sobeys,flyer,,MINUTE RICE,MINUTE RICE,,7.99,each,,0.6658333333333334,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Marshmallows,COMPLIMENTS Marshmallows,,2.49,each,,0.996,100g,True,True
sobeys,flyer,QUAKER,QUAKER Oat Flour or Muffin Mix,QUAKER Oat Flour or Muffin Mix,,4.99,each,,0.7128571428571429,100g,True,True
sobeys,flyer,BETTY CROCKER,BETTY CROCKER SuperMoist Cake Mix,BETTY CROCKER SuperMoist Cake Mix,,2.79,each,,0.6458333333333334,100g,True,True
sobeys,flyer,,EIGHT TREASURES Sesame Oil,EIGHT TREASURES Sesame Oil,,3.78,each,,3.78,,True,True
sobeys,flyer,THAT'S IT,THAT'S IT Fruit Bars,THAT'S IT Fruit Bars,,5.0,each,,7.142857142857142,100g,True,True
